,param_degree,param_kernel,param_l2reg,param_offset,param_sigma,mean_test_sqloss,mean_train_sqloss
5383,-,RBF,0.0040721318782867095,-,0.1,0.01584773322265804,0.01712586070518728
5380,-,RBF,0.004100455795403698,-,0.1,0.01585792719159646,0.017141392884866855
5377,-,RBF,0.004128976720943985,-,0.1,0.01586818590437591,0.01715696637394792
5374,-,RBF,0.004157696025209532,-,0.1,0.01587850921477695,0.01717258087929562
5371,-,RBF,0.004186615088033503,-,0.1,0.015888896969124724,0.017188236103800495
5368,-,RBF,0.004215735298846539,-,0.1,0.0158993490062804,0.017203931746428782
5365,-,RBF,0.0042450580567435356,-,0.1,0.01590986515764621,0.017219667502244174
5362,-,RBF,0.0042745847705508875,-,0.1,0.015920445247191738,0.017235443062448515
5359,-,RBF,0.004304316858894147,-,0.1,0.01593108909151022,0.017251258114419375
5356,-,RBF,0.004334255750266168,-,0.1,0.01594179649975282,0.017267112341723505
5353,-,RBF,0.00436440288309576,-,0.1,0.01595256727377717,0.017283005424187783
5350,-,RBF,0.004394759705816814,-,0.1,0.0159634012080483,0.01729893703790955
5347,-,RBF,0.004425327676937879,-,0.1,0.015974298089748647,0.017314906855311885
5344,-,RBF,0.004456108265112208,-,0.1,0.015985257698791156,0.01733091454516913
5341,-,RBF,0.004487102949208348,-,0.1,0.015996279807829184,0.017346959772653693
5338,-,RBF,0.004518313218381211,-,0.1,0.016007364182297434,0.017363042199378412
5335,-,RBF,0.004549740572143601,-,0.1,0.016018510580465564,0.01737916148343616
5332,-,RBF,0.004581386520438235,-,0.1,0.01602971875346233,0.01739531727944604
5329,-,RBF,0.004613252583710314,-,0.1,0.01604098844529628,0.017411509238586097
5326,-,RBF,0.004645340292980592,-,0.1,0.01605231939292087,0.017427737008649608
5323,-,RBF,0.004677651189918916,-,0.1,0.016063711326282336,0.017444000234081658
5320,-,RBF,0.0047101868269182725,-,0.1,0.016075163968331526,0.01746029855603327
5317,-,RBF,0.004742948767169393,-,0.1,0.016086677035089023,0.017476631612399922
5314,-,RBF,0.004775938584735887,-,0.1,0.016098250235704815,0.017492999037875476
5311,-,RBF,0.004809157864629837,-,0.1,0.01610988327246772,0.017509400463984998
5308,-,RBF,0.004842608202887938,-,0.1,0.016121575840889503,0.017525835519163976
5305,-,RBF,0.0048762912066481956,-,0.1,0.016133327629767876,0.01754230382877118
5302,-,RBF,0.004910208494227168,-,0.1,0.01614513832119129,0.01755880501516528
5299,-,RBF,0.004944361695197696,-,0.1,0.01615700759063782,0.01757533869774556
5296,-,RBF,0.004978752450467173,-,0.1,0.016168935107007665,0.017591904493005673
5293,-,RBF,0.005013382412356401,-,0.1,0.016180920532699858,0.017608502014584
5290,-,RBF,0.005048253244679013,-,0.1,0.01619296352365631,0.017625130873317418
5287,-,RBF,0.005083366622821377,-,0.1,0.016205063729428617,0.017641790677293333
5284,-,RBF,0.005118724233823069,-,0.1,0.016217220793250164,0.017658481031911172
5281,-,RBF,0.005154327776457959,-,0.1,0.016229434352079807,0.01767520153992533
5278,-,RBF,0.005190178961315841,-,0.1,0.01624170403669658,0.01769195180150635
5275,-,RBF,0.0052262795108846075,-,0.1,0.01625402947174079,0.0177087314143038
5272,-,RBF,0.0052626311596329755,-,0.1,0.016266410275799056,0.017725539973487317
5269,-,RBF,0.0052992356540938436,-,0.1,0.01627884606146511,0.01774237707181796
5266,-,RBF,0.005336094752948235,-,0.1,0.016291336435406374,0.017759242299697883
5263,-,RBF,0.0053732102271097665,-,0.1,0.016303880998458423,0.01777613524522767
5260,-,RBF,0.005410583859809708,-,0.1,0.016316479345700845,0.01779305549427628
5257,-,RBF,0.005448217446682681,-,0.1,0.01632913106647283,0.01781000263052389
5254,-,RBF,0.005486112795852964,-,0.1,0.01634183574454586,0.01782697623552739
5251,-,RBF,0.005524271728021331,-,0.1,0.01635459295814607,0.01784397588879234
5248,-,RBF,0.0055626960765525054,-,0.1,0.016367402280000772,0.017861001167808973
5245,-,RBF,0.005601387687563272,-,0.1,0.01638026327749979,0.01787805164814113
5242,-,RBF,0.005640348420011199,-,0.1,0.01639317551271104,0.01789512690346602
5239,-,RBF,0.005679580145783928,-,0.1,0.01640613854251861,0.017912226505642125
5236,-,RBF,0.005719084749789081,-,0.1,0.016419151918652133,0.017929350024776573
5233,-,RBF,0.005758864130044848,-,0.1,0.01643221518781034,0.017946497029284098
5230,-,RBF,0.005798920197771209,-,0.1,0.016445327891751654,0.017963667085940365
5227,-,RBF,0.005839254877481731,-,0.1,0.01645848956731637,0.017980859759964735
5224,-,RBF,0.005879870107076001,-,0.1,0.016471699746607785,0.017998074615067867
5221,-,RBF,0.005920767837932764,-,0.1,0.016484957957045607,0.0180153112135127
5218,-,RBF,0.005961950035003709,-,0.1,0.016498263721426005,0.01803256911620158
5215,-,RBF,0.00600341867690784,-,0.1,0.016511616558045047,0.018049847882710458
5212,-,RBF,0.00604517575602652,-,0.1,0.016525015980786917,0.01806714707136923
5209,-,RBF,0.006087223278599217,-,0.1,0.016538461499216773,0.01808446623933587
5206,-,RBF,0.006129563264819929,-,0.1,0.016551952618670956,0.01810180494262771
